date,3304557,3301702,3303500,3305109,3303302,3304904,3300456,3303203,3302858,3304144,3302502
2020-03-06,,,,,,,,,,,
2020-03-07,,,,,,,,,,,
2020-03-08,,,,,,,,,,,
2020-03-09,,,,,,,,,,,
2020-03-10,,,,,,,,,,,
2020-03-11,,,,,,,,,,,
2020-03-12,,,,,,,,,,,
2020-03-13,,,,,,,,,,,
2020-03-14,,,,,,,,,,,
2020-03-15,,,,,,,,,,,
2020-03-16,,,,,,,,,,,
2020-03-17,,,,,,,,,,,
2020-03-18,,,,,,,,,,,
2020-03-19,,,,,,,,,,,
2020-03-20,,,,,,,,,,,
2020-03-21,,,,,,,,,,,
2020-03-22,,,,,,,,,,,
2020-03-23,,,,,,,,,,,
2020-03-24,,,,,,,,,,,
2020-03-25,,,,,,,,,,,
2020-03-26,,,,,,,,,,,
2020-03-27,,,,,,,,,,,
2020-03-28,,,,,,,,,,,
2020-03-29,,,,,,,,,,,
2020-03-30,,,,,,,,,,,
2020-03-31,,,,,,,,,,,
2020-04-01,,,,,,,,,,,
2020-04-02,0.5227911355157405,0.030103859928588945,0.2632227106344665,,0.006656922075077832,0.0007037606192158539,1.8765216112269112,,,,
2020-04-03,0.5439534616068444,0.042834310244944766,0.3672101203125932,,0.006896452920274477,0.0010841479291804677,3.4380215069861624,,,,
2020-04-04,0.6611352655426611,0.0434423968569215,0.38659831843730874,0.02102279344402587,0.007112384490777727,0.0013190385454679003,3.3793698026828376,,,,
2020-04-05,0.6274179835019974,0.046913269070159934,0.45320078931184293,0.026149245783026645,0.007746482361980486,0.0014239631098493276,3.4371482668611444,,,,
2020-04-06,0.6238644645741797,0.05635363708587854,0.499962342791102,0.035117001053070994,0.00846210028749233,0.0014296464958754157,2.7711127207419377,,0.00369808697046384,,
2020-04-07,0.6611666380567569,0.05797218282103577,0.5008692888865242,0.036123837538045246,0.007980287329406243,0.001513240394446861,2.730468778965592,,0.0039057460081923104,,
